	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	1660.74	1115.35	1099.59	1247.80	759.68	694.28	763.38	394.60	434.93	1398.00	1071.00	1018.00	966.00	387.00	390.00	500.63	350.25	353.34	1071.00	1162.33	1291.90	1115.35	390.00	581.00	900.58	759.68	353.34	401.41	530.97	434.93	319.53	205.81	302.47	333.42	202.28	85.95	17.71	24.73	57.39	33.59	21.41	38.10	710.90	817.00	830.00	1071.00	906.00	143.04	59.20	60.14	77.61	65.65	10.37	40.80	39.86	22.39	34.35	1356827.00	925744.00	1177663.00	1153411.33	707.07	271.97	289.74	882.06	1204.26	1607.67	1231.33	3501.32	517.80	446.72	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	1365.45	814.79	752.08	715.24	553.95	510.31	694.38	289.41	267.15	936.00	810.00	714.00	692.00	622.00	578.00	264.94	284.63	229.07	810.00	820.00	977.44	814.79	622.00	630.67	593.17	553.95	264.94	259.55	416.98	289.41	337.49	111.34	107.95	57.49	240.49	28.17	13.58	34.53	9.12	18.20	10.85	57.67	346.77	388.00	380.00	731.00	499.67	200.38	28.12	27.54	52.97	36.21	14.52	71.88	72.46	47.03	63.79	529793.00	309619.00	549769.00	463060.33	2665.30	42.15	74.61	101.08	2609.09	2617.42	1775.86	361.23	294.46	276.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	5636.33	5104.57	5103.40	3860.31	3134.20	2997.15	2132.36	2312.12	2442.99	5158.00	4728.00	4747.00	4321.00	3974.00	3888.00	1654.03	1935.55	2086.59	4747.00	4877.67	5281.43	5104.57	3974.00	4061.00	3330.56	3134.20	1935.55	1892.05	2295.82	2312.12	307.35	242.96	463.87	229.24	155.96	219.53	4.98	5.82	5.64	13.93	11.60	6.79	1220.43	1328.00	1334.00	1290.00	1317.33	23.86	96.23	96.67	93.48	95.46	1.73	3.77	3.33	6.52	4.54	7485041.00	6809501.00	6583389.00	6959310.33	1830.35	1758.97	1527.34	1547.12	1753.51	2063.37	1788.00	3434.08	3211.63	3082.94	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	1492.61	3251.33	827.50	469.29	278.00	255.95	1083.04	2974.63	571.35	1127.00	4084.00	676.00	398.00	287.00	273.00	717.43	3807.29	419.85	1127.00	1962.33	1857.15	1492.61	287.00	319.33	334.41	278.00	717.43	1648.19	1543.01	1083.04	1252.36	1851.20	117.33	68.49	1265.94	1875.75	94.34	67.43	21.45	35.08	113.81	82.04	1537.82	145.00	6.00	10.00	53.67	79.12	10.51	0.43	0.72	3.89	5.73	89.49	99.57	99.28	96.11	216429.00	19508.00	8275.00	81404.00	1152.38	2581.66	601.24	136.28	6.91	9.50	50.90	340.32	41.04	37.35	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	1046.25	1785.64	670.64	494.98	303.19	254.33	566.98	1485.49	418.57	770.00	1542.00	622.00	485.00	296.00	227.00	290.73	1241.85	369.93	770.00	978.00	1167.51	1046.25	296.00	336.00	350.83	303.19	369.93	634.17	823.68	566.98	567.31	494.01	127.20	133.57	577.93	527.75	50.51	48.59	39.75	36.26	83.22	70.16	831.51	125.00	14.00	11.00	50.00	64.97	9.06	1.01	0.80	3.62	4.71	90.94	98.99	99.20	96.38	130781.00	24999.00	7377.00	54385.67	623.51	1028.26	170.07	113.67	20.23	27.07	53.65	143.89	33.71	46.35	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	1418.44	800.10	732.90	673.65	312.18	290.28	848.65	493.66	450.22	1072.00	581.00	691.00	506.00	294.00	283.00	502.21	274.56	408.32	691.00	781.33	983.81	800.10	294.00	361.00	425.37	312.18	408.32	395.03	597.51	493.66	377.89	257.66	215.30	125.69	218.57	114.41	32.98	38.41	34.82	50.61	28.96	36.58	622.81	55.00	30.00	10.00	31.67	22.55	3.99	2.17	0.72	2.29	1.63	96.01	97.83	99.28	97.71	78014.00	24003.00	7329.00	36448.67	868.79	401.82	109.20	53.72	36.86	41.23	43.94	587.69	64.59	117.60	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
7	antigen 032	MAGEA3	1	1	7	861.79	624.79	654.16	549.90	408.66	318.76	321.39	245.93	339.63	819.00	615.00	526.00	515.00	379.00	290.00	278.61	236.14	211.47	615.00	653.33	713.58	654.16	379.00	394.67	425.77	408.66	236.14	242.08	302.32	321.39	129.19	150.21	116.52	113.32	49.67	33.96	22.99	18.10	28.71	27.37	14.03	16.43	318.91	163.00	266.00	90.00	173.00	88.43	11.81	19.28	6.52	12.54	6.41	88.19	80.72	93.48	87.46	140471.00	166194.00	58874.00	121846.33	172.37	53.92	699.20	303.93	1213.18	43.72	520.28	111.23	210.95	92.36	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
8	antigen 112	SOX1	1	1	8	1430.35	1407.48	1260.68	636.58	601.10	494.88	831.94	853.30	817.42	1401.00	1339.00	1199.00	513.00	482.00	314.00	802.59	784.82	755.74	1339.00	1313.00	1366.17	1407.48	482.00	436.33	577.52	601.10	784.82	781.05	834.22	831.94	92.07	103.48	73.73	107.07	18.05	23.65	7.88	6.74	24.54	12.77	3.03	2.16	929.84	145.00	202.00	244.00	197.00	49.69	10.51	14.64	17.68	14.28	3.60	89.49	85.36	82.32	85.72	207401.00	284311.00	307605.00	266439.00	355.91	322.88	459.20	338.94	533.84	434.34	435.71	319.30	380.82	428.15	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	1166.53	905.82	753.71	460.35	419.17	462.01	752.58	506.05	308.63	668.00	624.00	699.00	380.00	324.00	383.00	254.04	224.23	253.92	668.00	663.67	942.02	905.82	380.00	362.33	447.18	460.35	253.92	244.07	522.42	506.05	208.78	37.69	24.27	33.23	222.43	17.17	5.68	22.16	9.17	5.43	7.04	42.58	579.69	146.00	285.00	287.00	239.33	80.84	10.58	20.65	20.80	17.34	5.86	89.42	79.35	79.20	82.66	170314.00	258158.00	216315.00	214929.00	1234.47	784.86	145.96	89.01	183.76	606.85	293.20	301.92	210.03	198.54	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
10	antigen 040	MART-1	1	2	2	1988.00	1099.20	735.71	332.13	275.80	295.08	1669.26	825.52	447.94	1683.00	944.00	694.00	305.00	277.00	282.00	1364.26	670.32	406.23	944.00	1107.00	1274.30	1099.20	282.00	288.00	301.00	295.08	670.32	813.60	980.91	825.52	644.24	514.25	28.63	14.93	625.31	494.83	46.45	50.56	5.19	9.51	60.82	63.75	986.30	34.00	20.00	14.00	22.67	10.26	2.46	1.45	1.01	1.64	0.74	97.54	98.55	98.99	98.36	67592.00	21984.00	10300.00	33292.00	1671.59	730.03	213.34	33.95	22.62	29.40	28.65	120.06	49.43	107.13	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
