	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	0.00	407.00	0.00	62.59	58.52	71.52	0.00	349.38	0.00	0.00	407.00	0.00	65.00	41.00	65.00	0.00	349.38	0.00	0.00	135.67	135.67	0.00	65.00	57.00	64.21	62.59	0.00	116.46	116.46	0.00	234.98	234.98	6.65	13.86	201.71	201.71	173.21	173.21	24.31	10.36	173.21	173.21	78.67	0.00	1.00	0.00	0.33	0.58	0.00	0.07	0.00	0.02	0.04	100.00	99.93	100.00	99.98	0.00	407.00	0.00	135.67	0.00	0.00	0.00	<NO DATA>	<NO DATA>	<NO DATA>	<NO DATA>	19.95	27.05	29.62	0	0	0	3	3	3	2	0	3	3	0	3	3	3	3	3
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	416.00	427.75	351.00	56.97	61.26	75.53	359.35	368.00	279.77	416.00	452.00	351.00	58.00	62.00	49.00	359.35	392.25	279.77	416.00	406.33	398.25	416.00	58.00	56.33	64.59	61.26	359.35	343.79	335.71	359.35	41.34	51.19	9.72	6.66	48.64	57.83	12.60	10.38	11.82	15.05	16.82	14.49	341.92	1.00	4.00	1.00	2.00	1.73	0.07	0.29	0.07	0.14	0.13	99.93	99.71	99.93	99.86	416.00	1711.00	351.00	826.00	0.00	185.79	0.00	<NO DATA>	7.92	<NO DATA>	2.64	18.48	28.64	49.72	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	2111.17	496.67	404.88	96.26	86.96	108.54	2021.09	413.83	304.97	763.00	519.00	405.00	65.00	70.00	76.00	672.92	436.16	305.10	519.00	562.33	1004.24	496.67	70.00	70.33	97.25	96.26	436.16	471.39	913.30	413.83	959.73	182.89	10.82	5.51	960.92	186.43	32.52	95.57	7.83	11.13	39.55	105.21	933.90	6.00	3.00	8.00	5.67	2.52	0.43	0.22	0.58	0.41	0.18	99.57	99.78	99.42	99.59	12667.00	1490.00	3239.00	5798.67	3621.12	140.83	91.71	3.35	8.82	26.60	12.92	74.61	50.04	89.50	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
4	antigen 007	COL6A1	1	1	4	502.40	488.27	784.50	54.28	56.32	58.74	448.47	432.36	725.43	455.00	321.00	667.00	46.00	57.00	62.00	401.07	265.09	607.93	455.00	481.00	591.72	502.40	57.00	55.00	56.45	56.32	401.07	424.69	535.42	448.47	167.10	174.46	2.23	8.19	164.75	172.63	36.27	28.24	14.88	3.95	40.65	30.77	536.72	5.00	11.00	4.00	6.67	3.79	0.36	0.80	0.29	0.48	0.27	99.64	99.20	99.71	99.52	2512.00	5371.00	3138.00	3673.67	270.15	381.26	464.09	8.30	12.47	6.25	9.01	19.30	19.04	21.06	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	584.09	1816.44	1684.78	127.51	149.95	210.63	518.68	1756.48	1623.59	480.00	771.00	737.00	48.00	55.00	45.00	414.59	711.04	675.82	737.00	662.67	1361.77	1684.78	48.00	49.33	162.70	149.95	675.82	600.48	1299.59	1623.59	676.70	159.10	43.00	5.13	679.54	161.95	24.01	49.69	10.40	26.43	26.97	52.29	1312.44	11.00	9.00	9.00	9.67	1.15	0.80	0.65	0.65	0.70	0.08	99.20	99.35	99.35	99.30	6425.00	16348.00	15163.00	12645.33	331.36	3328.68	2455.03	17.22	4.75	5.95	9.31	928.17	1027.17	1621.54	0	3	3	3	3	3	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	2978.42	1370.60	2509.17	61.94	69.17	62.30	2916.79	1301.33	2446.99	648.00	790.00	388.00	60.00	76.00	64.00	586.38	720.73	325.83	648.00	608.67	2286.06	2509.17	64.00	66.67	64.47	62.30	586.38	544.31	2221.71	2446.99	826.80	203.87	4.07	8.33	830.96	200.79	33.49	36.17	12.49	6.32	36.89	37.40	2219.39	12.00	10.00	6.00	9.33	3.06	0.87	0.72	0.43	0.68	0.22	99.13	99.28	99.57	99.32	35741.00	13706.00	15055.00	21500.67	4994.63	1199.98	4867.08	7.01	10.84	3.02	6.96	23.90	22.98	25.93	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
7	antigen 032	MAGEA3	1	1	7	1230.75	2533.00	4948.40	89.49	63.14	78.88	1145.84	2470.56	4874.32	715.00	1282.00	681.00	70.00	67.00	62.00	630.09	1219.56	606.92	715.00	892.67	2904.05	2533.00	67.00	66.33	77.17	78.88	630.09	818.86	2830.24	2470.56	1886.40	337.60	13.26	4.04	1890.08	347.21	37.82	64.96	6.09	17.18	42.40	66.78	2837.72	16.00	7.00	5.00	9.33	5.86	1.16	0.51	0.36	0.68	0.42	98.84	99.49	99.64	99.32	19692.00	17731.00	24742.00	20721.67	1206.81	2977.66	9760.08	15.19	5.81	2.50	7.83	59.63	24.53	58.49	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
8	antigen 112	SOX1	1	1	8	1194.18	539.00	4296.75	63.41	73.66	61.34	1132.56	469.38	4236.54	661.00	492.00	1005.00	49.00	71.00	41.00	599.38	422.38	944.79	661.00	719.33	2009.98	1194.18	49.00	53.67	66.14	63.41	599.38	655.51	1946.16	1132.56	2007.31	261.43	6.60	15.53	2011.05	265.69	36.34	99.87	28.95	9.97	40.53	103.33	1956.31	11.00	9.00	12.00	10.67	1.53	0.80	0.65	0.87	0.77	0.11	99.20	99.35	99.13	99.23	13136.00	4851.00	51561.00	23182.67	1218.17	206.53	9626.60	10.23	20.45	5.28	11.99	33.42	41.15	33.31	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	650.00	715.17	547.75	65.76	55.30	60.77	603.66	660.62	487.44	734.00	547.00	757.00	40.00	41.00	60.00	687.66	492.46	696.69	734.00	679.33	637.64	650.00	41.00	47.00	60.61	60.77	687.66	625.60	583.91	603.66	84.39	115.18	5.23	11.27	88.26	115.40	16.95	13.23	23.98	8.63	18.45	15.12	590.64	6.00	6.00	4.00	5.33	1.15	0.43	0.43	0.29	0.39	0.08	99.57	99.57	99.71	99.61	3900.00	4291.00	2191.00	3460.67	408.36	456.98	245.12	8.87	8.67	7.95	8.50	288.03	23.11	22.27	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
10	antigen 040	MART-1	1	2	2	2997.45	2107.67	1527.29	65.23	51.48	56.65	2935.35	2056.57	1471.27	1209.00	1058.00	535.00	68.00	43.00	49.00	1146.89	1006.91	478.99	1058.00	934.00	2210.80	2107.67	49.00	53.33	57.79	56.65	1006.91	877.60	2154.40	2056.57	740.49	353.70	6.95	13.05	736.92	352.23	37.87	33.49	24.47	12.03	40.14	34.21	2157.47	11.00	6.00	7.00	8.00	2.65	0.80	0.43	0.51	0.58	0.19	99.20	99.57	99.49	99.42	32972.00	12646.00	10691.00	18769.67	5471.53	3021.28	2428.04	5.90	4.08	4.24	4.74	44.68	18.35	20.43	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
