	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	1094.25	9923.29	3934.86	213.40	160.51	197.20	944.71	9778.10	3794.24	852.00	6676.00	595.00	133.00	132.00	124.00	702.46	6530.80	454.38	852.00	2707.67	4984.13	3934.86	132.00	129.67	190.37	197.20	702.46	2562.55	4839.01	3794.24	4507.08	3439.08	27.10	4.93	4508.42	3438.85	127.01	90.43	3.80	14.23	134.20	93.17	4854.47	16.00	24.00	7.00	15.67	8.50	1.16	1.74	0.51	1.14	0.62	98.84	98.26	99.49	98.86	17508.00	238159.00	27544.00	94403.67	804.59	10898.45	8213.08	18.79	21.53	3.23	14.52	422.97	160.32	697.21	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	2083.50	1466.53	5249.40	147.77	205.52	114.65	1943.75	1290.75	5139.12	1177.00	730.00	2108.00	125.00	184.00	111.00	1037.25	554.22	1997.72	1177.00	1338.33	2933.14	2083.50	125.00	140.00	155.98	147.77	1037.25	1196.40	2791.21	1943.75	2029.52	703.02	45.99	38.74	2059.40	734.79	52.53	69.19	27.67	29.48	61.42	73.78	2793.14	10.00	32.00	35.00	25.67	13.65	0.72	2.32	2.54	1.86	0.99	99.28	97.68	97.46	98.14	20835.00	46929.00	183729.00	83831.00	3245.27	2511.07	6703.01	5.99	16.45	26.83	16.42	80.26	431.66	64.80	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	4317.23	681.27	2609.36	257.67	269.85	198.72	4165.01	423.68	2461.88	1653.00	547.00	1539.00	136.00	199.00	128.00	1500.78	289.40	1391.51	1539.00	1246.33	2535.95	2609.36	136.00	154.33	242.08	257.67	1391.51	1060.57	2350.19	2461.88	1819.09	608.32	38.04	38.89	1873.16	670.08	48.81	71.73	25.20	15.71	63.18	79.70	2381.62	31.00	194.00	22.00	82.33	96.81	2.25	14.06	1.59	5.97	7.02	97.75	85.94	98.41	94.03	133834.00	132167.00	57406.00	107802.33	8588.52	464.71	2935.35	15.03	176.87	18.45	70.12	1121.22	143.68	518.41	3	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
4	antigen 007	COL6A1	1	1	4	2936.30	1398.69	4889.75	155.98	228.82	106.80	2802.46	1232.23	4782.85	1996.00	548.00	836.00	118.00	174.00	107.00	1862.16	381.54	729.10	836.00	1126.67	3074.91	2936.30	118.00	133.00	163.87	155.98	729.10	990.94	2939.18	2802.46	1749.65	766.51	61.39	35.93	1779.25	774.26	68.03	56.90	27.02	37.46	78.13	60.54	2941.91	47.00	107.00	4.00	52.67	51.73	3.41	7.75	0.29	3.82	3.75	96.59	92.25	99.71	96.18	138006.00	149660.00	19559.00	102408.33	3835.86	2231.27	8576.96	34.34	59.09	2.23	31.89	149.81	415.61	10.25	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	3342.24	655.00	0.00	174.11	104.48	106.40	3229.72	550.97	0.00	1450.00	788.00	0.00	111.00	104.00	105.00	1337.47	683.97	0.00	788.00	746.00	1332.41	655.00	105.00	106.67	128.33	106.40	683.97	673.81	1260.23	550.97	1771.11	725.91	39.66	3.79	1727.73	668.79	97.31	132.92	3.55	30.91	99.26	137.10	1225.75	49.00	2.00	0.00	17.00	27.73	3.55	0.14	0.00	1.23	2.01	96.45	99.86	100.00	98.77	163770.00	1310.00	0.00	55026.67	4633.19	188.09	0.00	34.16	5.86	<NO DATA>	13.34	516.01	9.25	8.36	0	0	0	3	3	3	1	0	3	0	0	3	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	1090.40	802.00	954.00	130.71	104.58	103.78	975.79	698.72	850.14	750.00	802.00	1539.00	104.00	104.00	104.00	635.39	698.72	1435.14	802.00	1030.33	948.80	954.00	104.00	104.00	113.02	104.58	698.72	923.08	841.55	850.14	144.27	441.28	15.32	0.00	138.74	444.58	42.83	15.21	0.00	13.56	48.16	16.49	844.80	5.00	1.00	2.00	2.67	2.08	0.36	0.07	0.14	0.19	0.15	99.64	99.93	99.86	99.81	5452.00	802.00	1908.00	2720.67	940.49	0.00	827.31	5.19	<NO DATA>	2.06	2.41	140.03	15.18	7.61	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
7	antigen 032	MAGEA3	1	1	7	0.00	0.00	835.67	115.72	107.90	104.74	0.00	0.00	730.90	0.00	0.00	385.00	109.00	107.00	106.00	0.00	0.00	280.23	0.00	128.33	278.56	0.00	107.00	107.33	109.45	107.90	0.00	93.41	243.63	0.00	482.47	222.28	5.65	1.53	421.99	161.79	173.21	173.21	1.42	5.16	173.21	173.21	171.22	0.00	0.00	3.00	1.00	1.73	0.00	0.00	0.22	0.07	0.13	100.00	100.00	99.78	99.93	0.00	0.00	2507.00	835.67	0.00	0.00	828.67	<NO DATA>	<NO DATA>	2.65	0.88	24.56	15.89	7.12	0	0	0	3	3	3	2	3	0	3	3	0	3	3	3	3
8	antigen 112	SOX1	1	1	8	563.00	667.00	354.00	110.51	104.31	104.80	453.36	563.02	249.31	681.00	848.00	354.00	109.00	104.00	105.00	571.36	744.02	249.31	681.00	627.67	528.00	563.00	105.00	106.00	106.54	104.80	571.36	521.56	421.90	453.36	159.41	251.28	3.45	2.65	159.20	251.09	40.03	30.19	2.50	3.24	48.14	37.74	422.00	2.00	2.00	1.00	1.67	0.58	0.14	0.14	0.07	0.12	0.04	99.86	99.86	99.93	99.88	1126.00	1334.00	354.00	938.00	166.88	255.97	0.00	5.43	4.40	<NO DATA>	3.28	10.75	8.65	8.21	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	1451.59	1840.94	3114.78	153.09	141.10	221.49	1312.48	1703.42	2973.80	618.00	842.00	1971.00	127.00	125.00	125.00	478.89	704.48	1830.02	842.00	1143.67	2135.77	1840.94	125.00	125.67	171.90	153.09	704.48	1004.46	1996.57	1703.42	869.91	725.19	43.37	1.15	868.59	723.79	63.41	40.73	0.92	25.23	72.06	43.50	2010.10	17.00	17.00	36.00	23.33	10.97	1.23	1.23	2.61	1.69	0.79	98.77	98.77	97.39	98.31	24677.00	31296.00	112132.00	56035.00	1904.09	2887.10	3554.20	11.72	10.03	30.12	17.29	177.68	35.49	1257.36	0	0	3	3	3	3	0	0	0	0	0	0	0	0	3	3
10	antigen 040	MART-1	1	2	2	2030.31	1716.08	453.50	222.19	178.60	127.35	1872.13	1558.21	335.98	720.00	394.00	522.00	169.00	134.00	113.00	561.82	236.13	404.48	522.00	545.33	1399.97	1716.08	134.00	138.67	176.04	178.60	404.48	400.81	1255.44	1558.21	834.59	164.25	47.47	28.29	811.60	162.88	30.12	59.61	20.40	26.97	40.64	64.65	1261.30	16.00	60.00	2.00	26.00	30.27	1.16	4.35	0.14	1.88	2.19	98.84	95.65	99.86	98.12	32485.00	102965.00	907.00	45452.33	1954.33	7066.52	96.87	15.33	13.23	6.94	11.83	661.94	169.86	129.50	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
