	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	1731.34	1707.56	1746.72	519.15	416.87	498.98	1280.70	1362.57	1309.13	1703.00	1707.00	1786.00	204.00	209.00	212.00	1252.36	1362.01	1348.41	1707.00	1732.00	1728.54	1731.34	209.00	208.33	478.34	498.98	1348.41	1320.92	1317.47	1309.13	19.73	46.81	54.18	4.04	41.57	59.77	2.70	1.14	1.94	11.33	4.52	3.16	1520.21	954.00	1010.00	948.00	970.67	34.20	69.13	73.19	68.70	70.34	2.48	30.87	26.81	31.30	29.66	1651699.00	1724638.00	1655893.00	1677410.00	442.61	331.06	322.26	2760.39	4156.92	3851.05	3589.46	608.20	461.56	543.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	4877.72	4894.65	5002.67	3852.17	3860.63	3922.92	1022.58	1047.43	1088.72	4817.00	4843.00	4989.00	3820.00	3846.00	3850.00	961.86	995.78	1075.05	4843.00	4883.00	4925.01	4894.65	3846.00	3838.67	3878.57	3860.63	995.78	1010.89	1052.91	1047.43	67.79	92.71	38.64	16.29	33.41	58.09	1.90	1.38	0.42	1.00	5.75	3.17	1086.35	946.00	1017.00	1088.00	1017.00	71.00	68.55	73.70	78.84	73.70	5.14	31.45	26.30	21.16	26.30	4614321.00	4977861.00	5442908.00	5011696.67	589.14	564.96	589.94	1641.99	1885.49	2007.87	1845.12	555.41	520.41	476.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	3301.27	6023.54	3072.81	981.31	5012.84	638.00	2605.14	2075.09	2603.14	2887.00	4798.00	3374.00	312.00	273.00	242.00	2190.87	849.55	2904.34	3374.00	3686.33	4132.54	3301.27	273.00	275.67	2210.72	981.31	2190.87	1981.59	2427.79	2603.14	1641.63	993.05	2432.77	35.08	305.45	1043.26	26.94	39.72	12.72	110.04	52.65	12.58	3856.87	1165.00	307.00	930.00	800.67	443.38	84.42	22.25	67.39	58.02	32.13	15.58	77.75	32.61	41.98	3845980.00	1849227.00	2857709.00	2850972.00	2480.69	4265.20	1166.48	1223.45	149.36	2075.41	1149.41	2000.56	8979.39	1142.07	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	1355.49	1222.08	1159.26	228.26	257.80	229.47	1130.14	966.45	931.47	1225.00	1220.00	1185.00	206.00	278.00	206.00	999.65	964.37	957.21	1220.00	1210.00	1245.61	1222.08	206.00	230.00	238.51	229.47	964.37	973.74	1009.35	966.45	100.21	21.79	16.72	41.57	106.06	22.72	1.80	8.05	18.07	7.01	2.33	10.51	1015.61	808.00	730.00	756.00	764.67	39.72	58.55	52.90	54.78	55.41	2.88	41.45	47.10	45.22	44.59	1095238.00	892115.00	876402.00	954585.00	2385.79	288.73	304.96	382.75	2443.48	2309.12	1711.78	49.26	56.46	47.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	antigen 011	CT62	1	1	5	691.80	590.94	624.49	346.16	252.41	314.61	359.70	341.17	320.20	691.00	578.00	611.00	303.00	224.00	296.00	358.89	328.23	306.71	611.00	626.67	635.74	624.49	296.00	274.33	304.39	314.61	328.23	331.28	340.36	341.17	51.37	58.11	47.70	43.73	19.76	26.22	9.27	8.08	15.94	15.67	7.92	5.81	361.41	266.00	666.00	235.00	389.00	240.39	19.28	48.26	17.03	28.19	17.42	80.72	51.74	82.97	71.81	184020.00	393565.00	146755.00	241446.67	137.77	447.19	264.38	694.48	508.11	284.62	495.73	150.37	55.03	116.58	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	746.51	681.74	609.42	235.74	246.54	257.00	512.65	436.45	355.87	575.00	572.00	585.00	209.00	217.00	230.00	341.14	326.71	331.45	575.00	577.33	679.22	681.74	217.00	218.67	246.42	246.54	331.45	333.10	434.99	436.45	68.58	6.81	10.63	10.60	78.40	7.35	1.18	10.10	4.85	4.31	2.21	18.02	460.56	810.00	719.00	620.00	716.33	95.03	58.70	52.10	44.93	51.91	6.89	41.30	47.90	55.07	48.09	604675.00	490168.00	377839.00	490894.00	2115.51	1196.20	250.11	196.29	262.34	882.16	446.93	44.78	47.88	64.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	1044.98	858.21	801.13	485.33	486.61	530.45	572.94	374.81	332.75	814.00	807.00	747.00	462.00	483.00	464.00	341.96	323.60	278.62	807.00	789.33	901.44	858.21	464.00	469.67	500.80	486.61	323.60	314.73	426.83	374.81	127.54	36.83	25.68	11.59	128.27	32.59	4.67	14.15	2.47	5.13	10.35	30.05	431.77	806.00	700.00	485.00	663.67	163.56	58.41	50.72	35.14	48.09	11.85	41.59	49.28	64.86	51.91	842250.00	600748.00	388547.00	610515.00	1638.40	464.49	176.70	281.85	564.85	913.33	586.68	239.13	194.49	608.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	antigen 112	SOX1	1	1	8	943.91	799.33	848.99	648.88	516.70	526.81	358.85	292.01	341.10	834.00	736.00	806.00	588.00	489.00	488.00	248.93	228.69	298.11	806.00	792.00	864.08	848.99	489.00	521.67	564.13	526.81	248.93	258.58	330.65	341.10	73.46	50.48	73.57	57.45	34.62	35.70	6.37	8.50	11.01	13.04	13.81	10.47	342.41	173.00	221.00	196.00	196.67	24.01	12.54	16.01	14.20	14.25	1.74	87.46	83.99	85.80	85.75	163297.00	176651.00	166402.00	168783.33	401.44	209.29	254.99	154.64	308.35	262.18	241.73	964.61	206.29	240.36	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	632.15	527.92	513.33	295.24	232.98	271.18	354.44	305.02	250.82	511.00	510.00	503.00	231.00	213.00	217.00	233.29	287.10	240.49	510.00	508.00	557.80	527.92	217.00	220.33	266.47	271.18	240.49	253.63	303.43	305.02	64.80	4.36	31.39	9.45	51.83	29.21	0.86	11.62	4.29	11.78	11.52	17.08	337.47	228.00	346.00	414.00	329.33	94.11	16.52	25.07	30.00	23.86	6.82	83.48	74.93	70.00	76.14	144131.00	182659.00	212520.00	179770.00	640.56	139.33	71.78	126.16	757.46	1446.70	776.77	147.34	65.40	97.67	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
10	antigen 040	MART-1	1	2	2	2285.43	1177.33	1133.65	658.90	672.52	213.33	1812.08	656.37	923.52	1218.00	1283.00	420.00	219.00	295.00	203.00	744.65	762.04	209.88	1218.00	973.67	1532.14	1177.33	219.00	239.00	514.92	658.90	744.65	572.19	1130.66	923.52	652.74	480.59	261.27	49.15	605.06	313.89	49.36	42.60	20.57	50.74	54.86	53.51	1293.14	21.00	3.00	91.00	38.33	46.49	1.52	0.22	6.59	2.78	3.37	98.48	99.78	93.41	97.22	47994.00	3532.00	103162.00	51562.67	1735.35	256.39	2457.15	21.93	7.68	34.20	21.27	1157.57	1101.12	30.50	3	3	0	3	3	3	0	0	0	0	0	0	0	0	3	3
