	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	1705.83	2648.22	2800.19	110.20	2047.47	2206.19	1597.05	613.86	594.13	1712.00	2570.00	2654.00	103.00	2740.00	2932.00	1603.22	535.64	447.93	2570.00	2312.00	2384.75	2648.22	2740.00	1925.00	1454.62	2047.47	535.64	862.26	935.01	613.86	592.85	521.31	1167.00	1580.82	573.43	643.18	22.55	24.86	82.12	80.23	74.59	61.33	459.75	492.00	574.00	474.00	513.33	53.30	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	839269.00	1520076.00	1327291.00	1228878.67	644.26	337.11	362.74	1219.61	1045.22	776.35	1013.73	17.53	1488.47	1470.10	0	3	3	3	3	3	0	0	0	0	0	0	0	0	3	3
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	2150.44	3201.55	3156.92	102.73	164.45	1867.37	2048.21	3052.71	1444.94	2476.00	2849.00	2919.00	103.00	111.00	188.00	2373.77	2700.16	1207.02	2849.00	2748.00	2836.30	3156.92	111.00	134.00	711.52	164.45	2373.77	2093.65	2181.95	2048.21	594.39	238.14	1001.48	46.94	812.19	784.99	8.67	20.96	35.03	140.75	37.49	37.22	2702.30	487.00	1106.00	1137.00	910.00	366.66	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	1047264.00	3540914.00	3589418.00	2725865.33	1187.32	1965.30	971.49	840.10	1717.95	1691.10	1416.39	9.38	116.26	2422.58	0	0	3	3	3	3	0	0	0	0	0	0	0	0	3	3
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	3471.20	6000.73	4139.43	116.84	4325.09	2791.95	3357.68	2501.41	1527.89	3162.00	4271.00	3595.00	113.00	193.00	927.00	3048.48	771.68	983.46	3595.00	3676.00	4537.12	4139.43	193.00	411.00	2411.29	2791.95	983.46	1601.21	2462.33	2501.41	1310.82	558.92	2129.79	448.66	915.52	1257.84	15.20	28.89	109.16	88.33	78.56	37.18	4126.12	600.00	321.00	843.00	588.00	261.21	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	2082721.00	1926234.00	3489539.00	2499498.00	2276.54	3659.98	1575.46	884.94	219.39	817.55	640.63	21.39	7286.32	2914.83	0	3	3	3	3	3	0	0	0	0	0	0	0	0	3	3
4	antigen 007	COL6A1	1	1	4	388.87	517.64	628.87	116.43	173.98	196.90	274.94	344.82	433.43	386.00	411.00	415.00	112.00	186.00	196.00	272.07	238.18	219.56	411.00	404.00	511.79	517.64	186.00	164.67	162.44	173.98	238.18	243.27	351.06	344.82	120.11	15.72	41.46	45.88	79.43	26.62	3.89	23.47	27.86	25.52	10.94	22.63	347.13	77.00	294.00	295.00	222.00	125.57	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	29943.00	152186.00	185516.00	122548.33	63.14	1581.14	2184.21	335.28	64.12	58.54	152.65	18.69	35.68	28.68	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	445.52	487.88	704.57	160.26	198.67	294.25	291.11	292.19	418.05	405.00	504.00	530.00	138.00	194.00	302.00	250.60	308.31	243.48	504.00	479.67	545.99	487.88	194.00	211.33	217.73	198.67	250.60	267.46	333.78	292.19	138.96	65.96	69.00	83.36	72.98	35.55	13.75	25.45	39.45	31.69	13.29	21.86	334.66	341.00	447.00	262.00	350.00	92.83	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	151922.00	218082.00	184597.00	184867.00	292.46	80.80	2256.27	339.43	1616.50	48.54	668.16	64.12	32.30	98.25	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	508.40	544.58	677.61	184.33	255.58	309.87	326.62	294.79	377.62	502.00	526.00	524.00	190.00	235.00	292.00	320.22	276.20	224.01	524.00	517.33	576.87	544.58	235.00	239.00	249.93	255.58	276.20	273.48	333.01	326.62	89.11	13.32	62.96	51.12	41.79	48.16	2.57	15.45	21.39	25.19	17.61	12.55	337.87	281.00	350.00	404.00	345.00	61.65	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	142860.00	190604.00	273756.00	202406.67	219.19	111.63	1638.40	418.72	924.26	93.11	478.70	51.00	70.44	123.88	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
7	antigen 032	MAGEA3	1	1	7	575.42	801.38	1145.57	462.04	322.72	372.60	329.21	486.34	828.81	507.00	637.00	639.00	200.00	295.00	303.00	260.79	321.96	322.23	637.00	594.33	840.79	801.38	295.00	266.00	385.78	372.60	321.96	301.66	548.12	486.34	287.11	75.64	70.59	57.30	255.47	35.39	12.73	34.15	21.54	18.30	11.73	46.61	574.79	217.00	531.00	329.00	359.00	159.14	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	124866.00	425532.00	376894.00	309097.33	158.89	1730.19	4693.44	449.61	149.26	58.10	218.99	1730.53	87.82	713.98	3	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
8	antigen 112	SOX1	1	1	8	729.37	691.81	694.45	248.48	312.91	279.61	484.54	385.34	427.29	516.00	623.00	531.00	210.00	296.00	283.00	271.17	316.54	263.84	531.00	556.67	705.21	694.45	283.00	263.00	280.33	279.61	271.17	283.85	432.39	427.29	20.97	57.93	32.22	46.36	49.80	28.54	10.41	2.97	17.63	11.49	10.06	11.52	442.21	89.00	266.00	347.00	234.00	131.94	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	64914.00	184021.00	240975.00	163303.33	942.38	397.17	1890.29	45.76	258.08	78.44	127.43	59.67	88.40	119.14	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	477.95	784.10	450.34	118.53	119.36	124.18	364.48	666.93	328.82	408.00	402.00	405.00	109.00	113.00	116.00	294.53	284.83	283.48	405.00	405.00	570.80	477.95	113.00	112.67	120.69	119.36	284.83	287.61	453.41	364.48	185.24	3.00	3.05	3.51	185.77	6.03	0.74	32.45	3.12	2.53	2.10	40.97	458.13	303.00	208.00	326.00	279.00	62.55	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	144819.00	163093.00	146810.00	151574.00	609.61	3679.14	392.32	181.16	37.70	273.23	164.03	38.91	23.86	24.34	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
10	antigen 040	MART-1	1	2	2	448.21	402.62	444.04	152.48	156.35	150.41	300.71	249.61	295.43	363.00	380.00	404.00	121.00	131.00	132.00	215.49	226.99	255.39	380.00	382.33	431.62	444.04	131.00	128.00	153.08	152.48	226.99	232.63	281.92	295.43	25.20	20.60	3.02	6.08	28.10	20.54	5.39	5.84	4.75	1.97	8.83	9.97	303.62	28.00	37.00	107.00	57.33	43.25	0.00	0.00	0.00	0.00	0.00	100.00	100.00	100.00	100.00	12550.00	14897.00	47512.00	24986.33	136.23	79.46	155.96	61.80	116.23	202.69	126.91	52.40	46.96	36.30	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
