	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	1851.07	1837.56	1858.45	158.22	113.59	108.44	1741.29	1726.28	1751.92	1874.00	1857.00	1906.00	110.00	110.00	106.00	1764.21	1745.72	1799.47	1874.00	1879.00	1849.03	1851.07	110.00	108.67	126.75	113.59	1764.21	1769.80	1739.83	1741.29	10.60	24.88	27.38	2.31	12.88	27.31	1.32	0.57	2.13	21.60	1.54	0.74	1740.36	725.00	735.00	759.00	739.67	17.47	52.54	53.26	55.00	53.60	1.27	47.46	46.74	45.00	46.40	1342029.00	1350604.00	1410562.00	1367731.67	338.18	407.14	413.65	3733.04	3116.40	3214.58	3354.68	745.96	19.40	14.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	2315.56	2342.27	2381.77	128.30	142.64	139.65	2189.04	2200.63	2243.46	2404.00	2413.00	2430.00	119.00	129.00	125.00	2277.47	2271.37	2291.69	2413.00	2415.67	2346.53	2342.27	125.00	124.33	136.86	139.65	2277.47	2280.18	2211.04	2200.63	33.31	13.20	7.57	5.03	28.66	10.43	0.55	1.42	4.05	5.53	0.46	1.30	2222.20	836.00	837.00	815.00	829.33	12.42	60.58	60.65	59.06	60.10	0.90	39.42	39.35	40.94	39.90	1935812.00	1960478.00	1941140.00	1945810.00	543.58	504.69	560.37	3366.63	3649.60	3262.88	3426.37	22.93	31.51	32.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	3672.49	3743.80	4126.48	1338.39	2252.75	2797.73	2554.18	2174.47	1871.84	2655.00	2726.00	2998.00	178.00	179.00	174.00	1536.70	1156.67	743.36	2726.00	2793.00	3847.59	3743.80	178.00	177.00	2129.62	2252.75	1156.67	1145.58	2200.16	2174.47	244.15	181.05	737.42	2.65	341.90	396.78	6.48	6.35	1.49	34.63	34.64	15.54	3670.59	1001.00	881.00	582.00	821.33	215.78	72.54	63.84	42.17	59.52	15.64	27.46	36.16	57.83	40.48	3676161.00	3298284.00	2401612.00	3125352.33	2866.02	2869.52	2663.40	892.09	667.61	409.03	656.24	1893.64	4192.68	4639.28	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	582.14	415.02	687.86	133.31	114.63	136.93	451.10	303.23	552.23	372.00	314.00	391.00	119.00	110.00	117.00	240.96	202.21	255.37	372.00	359.00	561.67	582.14	117.00	115.33	128.29	133.31	240.96	232.85	435.52	451.10	137.57	40.11	11.97	4.73	125.23	27.49	11.17	24.49	4.10	9.33	11.81	28.75	446.34	49.00	47.00	78.00	58.00	17.35	3.55	3.41	5.65	4.20	1.26	96.45	96.59	94.35	95.80	28525.00	19506.00	53653.00	33894.67	695.73	452.69	1359.98	31.77	31.48	31.67	31.64	30.66	18.58	37.78	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	721.12	429.98	563.23	346.28	182.98	253.80	497.39	253.70	332.30	501.00	410.00	519.00	191.00	184.00	194.00	277.27	233.72	288.07	501.00	476.67	571.45	563.23	191.00	189.67	261.02	253.80	277.27	266.35	361.13	332.30	145.74	58.43	81.89	5.13	124.38	28.77	12.26	25.50	2.71	31.37	10.80	34.44	381.78	153.00	459.00	124.00	245.33	185.61	11.09	33.26	8.99	17.78	13.45	88.91	66.74	91.01	82.22	110331.00	197363.00	69841.00	125845.00	1173.75	56.32	289.77	64.84	2067.49	142.20	758.18	1619.05	67.80	253.48	3	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	532.36	788.02	548.97	144.93	146.13	277.70	388.80	642.76	391.56	415.00	413.00	425.00	126.00	126.00	143.00	271.44	267.74	267.59	415.00	417.67	623.12	548.97	126.00	131.67	189.59	146.13	267.74	268.92	474.37	391.56	143.05	6.43	76.31	9.81	145.84	2.18	1.54	22.96	7.45	40.25	0.81	30.74	491.45	265.00	184.00	350.00	266.33	83.01	19.20	13.33	25.36	19.30	6.02	80.80	86.67	74.64	80.70	141076.00	144996.00	192138.00	159403.33	965.82	2486.94	719.80	106.68	47.56	190.39	114.88	36.09	36.47	1431.37	0	0	3	3	3	0	0	0	0	0	0	0	0	0	3	3
7	antigen 032	MAGEA3	1	1	7	900.57	545.85	544.28	242.65	191.86	247.72	680.08	353.72	307.28	535.00	477.00	524.00	190.00	195.00	198.00	314.51	284.87	287.00	524.00	512.00	663.57	545.85	195.00	194.33	227.41	242.65	287.00	295.46	447.03	353.72	205.25	30.81	30.89	4.04	203.16	16.53	6.02	30.93	2.08	13.58	5.60	45.45	469.23	270.00	501.00	240.00	337.00	142.82	19.57	36.30	17.39	24.42	10.35	80.43	63.70	82.61	75.58	243154.00	273470.00	130627.00	215750.33	3487.33	659.24	142.10	52.65	268.81	518.97	280.15	256.23	25.32	102.98	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
8	antigen 112	SOX1	1	1	8	644.38	464.40	537.30	187.27	184.27	199.95	472.26	285.79	343.66	427.00	416.00	418.00	130.00	172.00	186.00	254.88	237.39	224.36	418.00	420.33	548.69	537.30	172.00	162.67	190.50	187.27	237.39	238.88	367.24	343.66	90.52	5.86	8.32	29.14	95.44	15.32	1.39	16.50	17.92	4.37	6.41	25.99	386.03	157.00	131.00	96.00	128.00	30.61	11.38	9.49	6.96	9.28	2.22	88.62	90.51	93.04	90.72	101167.00	60837.00	51581.00	71195.00	1133.30	387.89	656.06	65.42	96.52	50.29	70.74	171.72	82.31	88.75	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	733.88	729.68	654.27	157.46	127.06	115.43	620.40	608.27	543.55	389.00	405.00	396.00	112.00	109.00	110.00	275.52	283.59	285.29	396.00	396.67	705.94	729.68	110.00	110.33	133.31	127.06	283.59	281.47	590.74	608.27	44.80	8.02	21.71	1.53	41.31	5.22	2.02	6.35	1.38	16.28	1.85	6.99	595.61	209.00	199.00	376.00	261.33	99.43	15.14	14.42	27.25	18.94	7.21	84.86	85.58	72.75	81.06	153381.00	145206.00	246005.00	181530.67	3425.55	3859.98	2179.51	37.85	31.36	93.77	54.33	648.57	45.94	42.58	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	3
10	antigen 040	MART-1	1	2	2	773.07	475.24	398.44	146.46	174.19	154.76	628.23	306.20	248.21	538.00	405.00	391.00	124.00	179.00	131.00	393.16	235.95	240.76	405.00	444.67	548.92	475.24	131.00	144.67	158.47	154.76	240.76	289.96	394.21	306.20	197.88	81.13	14.23	29.94	204.73	89.41	18.25	36.05	20.70	8.98	30.84	51.93	404.25	15.00	78.00	81.00	58.00	37.27	1.09	5.65	5.87	4.20	2.70	98.91	94.35	94.13	95.80	11596.00	37069.00	32274.00	26979.67	509.64	371.29	34.08	18.49	64.32	589.94	224.25	37.28	71.40	47.17	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
