	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	1627.21	1481.32	1448.39	222.35	206.01	218.57	1418.35	1287.19	1243.76	1733.00	1585.00	1545.00	186.00	187.00	193.00	1524.14	1390.87	1340.37	1585.00	1621.00	1518.97	1481.32	187.00	188.67	215.64	218.57	1390.87	1418.46	1316.43	1287.19	95.17	99.04	8.55	3.79	90.89	94.94	6.11	6.27	2.01	3.97	6.69	6.90	1330.31	1275.00	1206.00	1274.00	1251.67	39.55	92.39	87.39	92.32	90.70	2.87	7.61	12.61	7.68	9.30	2074694.00	1786466.00	1845250.00	1902136.67	446.28	401.28	411.69	4052.18	3868.46	3848.91	3923.18	101.61	81.36	150.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	1998.01	1971.80	2136.53	274.56	262.80	357.60	1746.98	1725.92	1804.42	2107.00	2067.00	2201.00	190.00	197.00	194.00	1855.97	1821.12	1868.89	2107.00	2125.00	2035.45	1998.01	194.00	193.67	298.32	274.56	1855.97	1848.66	1759.11	1746.98	88.52	68.79	51.68	3.51	40.63	24.71	3.24	4.35	1.81	17.32	1.34	2.31	1841.78	1258.00	1310.00	1260.00	1276.00	29.46	91.16	94.93	91.30	92.46	2.13	8.84	5.07	8.70	7.54	2513494.00	2583061.00	2692027.00	2596194.00	517.69	501.10	477.95	4245.18	4511.98	4756.92	4504.69	188.00	138.49	277.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	1896.44	2003.42	2072.39	298.85	206.35	257.00	1626.54	1807.06	1838.07	1886.00	2150.00	2187.00	189.00	194.00	191.00	1616.10	1953.64	1952.68	2150.00	2074.33	1990.75	2003.42	191.00	191.33	254.07	257.00	1952.68	1840.81	1757.22	1807.06	88.66	164.15	46.32	2.52	114.24	194.60	7.91	4.45	1.32	18.23	10.57	6.50	1799.42	1203.00	1239.00	1228.00	1223.33	18.45	87.17	89.78	88.99	88.65	1.34	12.83	10.22	11.01	11.35	2281413.00	2482242.00	2544898.00	2436184.33	989.87	592.40	589.81	1976.76	3779.46	3826.92	3194.38	231.32	62.25	164.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	548.84	458.69	593.29	314.39	195.00	206.28	342.94	267.39	396.04	416.00	411.00	415.00	193.00	193.00	192.00	210.10	219.70	217.75	415.00	414.00	533.60	548.84	193.00	192.67	238.56	206.28	217.75	215.85	335.45	342.94	68.58	2.65	65.91	0.58	64.65	5.08	0.64	12.85	0.30	27.63	2.35	19.27	340.94	216.00	359.00	382.00	319.00	89.94	15.65	26.01	27.68	23.12	6.52	84.35	73.99	72.32	76.88	118549.00	164669.00	226636.00	169951.33	1033.72	351.59	1497.38	71.66	273.02	101.03	148.57	1217.38	40.27	67.16	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
5	antigen 011	CT62	1	1	5	1151.12	795.81	730.24	600.41	266.67	354.70	753.81	548.83	389.24	708.00	598.00	615.00	221.00	196.00	320.00	310.69	351.02	274.00	615.00	640.33	892.39	795.81	221.00	245.67	407.26	354.70	310.69	311.90	563.96	548.83	226.46	59.21	172.97	65.58	182.76	38.52	9.25	25.38	26.69	42.47	12.35	32.41	646.72	341.00	1060.00	565.00	655.33	367.91	24.71	76.81	40.94	47.49	26.66	75.29	23.19	59.06	52.51	392533.00	843561.00	412583.00	549559.00	2463.25	2228.94	626.64	104.35	261.00	350.95	238.77	1330.56	167.18	176.79	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	antigen 015	DSCR8/MMA1	1	1	6	608.98	654.37	715.14	237.46	399.08	252.97	399.97	434.30	489.11	504.00	509.00	600.00	198.00	195.00	196.00	294.99	288.94	373.97	509.00	537.67	659.50	654.37	196.00	196.33	296.50	252.97	294.99	319.30	441.13	434.30	53.27	54.04	89.17	1.53	44.96	47.44	10.05	8.08	0.78	30.07	14.86	10.19	463.16	957.00	1075.00	1109.00	1047.00	79.77	69.35	77.90	80.36	75.87	5.78	30.65	22.10	19.64	24.13	582797.00	703443.00	793094.00	693111.33	1026.58	872.86	782.04	372.86	534.88	693.60	533.78	341.68	1649.03	228.99	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	736.12	648.87	694.90	321.26	216.11	345.62	434.55	454.17	375.69	625.00	594.00	696.00	197.00	190.00	202.00	323.42	399.30	376.80	625.00	638.33	693.29	694.90	197.00	196.33	294.33	321.26	376.80	366.51	421.47	434.55	43.65	52.29	68.83	6.03	40.84	38.97	8.19	6.30	3.07	23.38	10.63	9.69	496.96	617.00	1153.00	734.00	834.67	281.82	44.71	83.55	53.19	60.48	20.42	55.29	16.45	46.81	39.52	454188.00	748142.00	510053.00	570794.33	684.61	690.26	147.58	391.63	758.64	1868.49	1006.25	202.14	237.21	246.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	antigen 112	SOX1	1	1	8	651.15	626.32	580.42	316.79	304.29	284.46	341.60	331.60	305.73	615.00	604.00	530.00	304.00	258.00	269.00	305.45	309.28	255.31	604.00	583.00	619.30	626.32	269.00	277.00	301.85	304.29	305.45	290.01	326.31	331.60	35.89	46.23	16.31	24.02	18.51	30.11	7.93	5.79	8.67	5.40	10.38	5.67	342.30	401.00	445.00	475.00	440.33	37.22	29.06	32.25	34.42	31.91	2.70	70.94	67.75	65.58	68.09	261113.00	278713.00	275699.00	271841.67	248.67	284.73	258.94	550.87	518.25	560.83	543.31	108.52	124.43	106.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	antigen 036	MAGEA5	1	2	1	462.32	493.66	472.21	188.73	184.70	181.06	278.90	308.55	289.99	481.00	411.00	478.00	187.00	188.00	187.00	297.57	225.89	295.78	478.00	456.67	476.07	472.21	187.00	187.33	184.83	184.70	295.78	273.08	292.48	289.99	16.02	39.58	3.84	0.58	14.98	40.88	8.67	3.37	0.31	2.08	14.97	5.12	288.73	577.00	823.00	888.00	762.67	164.04	41.81	59.64	64.35	55.27	11.89	58.19	40.36	35.65	44.73	266761.00	406283.00	419324.00	364122.67	89.59	543.23	124.04	1796.18	467.45	2076.01	1446.55	58.38	17.65	18.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	antigen 040	MART-1	1	2	2	530.86	567.43	424.52	237.42	249.20	201.37	309.89	340.95	225.91	430.00	447.00	413.00	203.00	203.00	194.00	209.03	220.52	214.39	430.00	430.00	507.60	530.86	203.00	200.00	229.33	237.42	214.39	214.65	292.25	309.89	74.24	17.00	24.92	5.20	59.51	5.75	3.95	14.63	2.60	10.87	2.68	20.36	307.60	134.00	89.00	389.00	204.00	161.79	9.71	6.45	28.19	14.78	11.72	90.29	93.55	71.81	85.22	71135.00	50501.00	165137.00	95591.00	434.71	549.48	73.24	95.52	55.22	1199.85	450.20	230.80	281.76	31.14	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	3
