	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	2170.31	2004.71	1948.52	1403.46	1316.88	1228.96	824.06	742.00	770.53	2113.00	1921.00	1888.00	1687.00	857.00	938.00	766.76	658.29	710.00	1921.00	1974.00	2041.18	2004.71	938.00	1160.67	1316.43	1316.88	710.00	711.68	778.86	770.53	115.30	121.50	87.25	457.61	41.66	54.25	6.16	5.65	39.43	6.63	7.62	5.35	880.51	942.00	1001.00	1063.00	1002.00	60.51	68.26	72.54	77.03	72.61	4.38	31.74	27.46	22.97	27.39	2044428.00	2006710.00	2071278.00	2040805.33	470.15	396.73	380.14	1651.11	1872.16	2154.65	1892.64	1300.27	1210.95	1140.80	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	2711.24	2532.95	2782.69	183.29	170.49	1687.27	2538.61	2370.30	1298.72	2333.00	2137.00	2485.00	124.00	131.00	184.00	2160.38	1974.35	1001.03	2333.00	2318.33	2675.62	2711.24	131.00	146.33	680.35	183.29	1974.35	1711.92	2069.21	2370.30	128.62	174.46	872.04	32.81	672.55	622.64	7.53	4.81	22.42	128.18	36.37	32.50	2529.29	1053.00	1064.00	1074.00	1063.67	10.50	76.30	77.10	77.83	77.08	0.76	23.70	22.90	22.17	22.92	2854931.00	2695056.00	2988608.00	2846198.33	2045.41	1814.89	951.00	1306.91	1389.62	1466.68	1387.74	104.81	76.92	2006.19	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	5261.51	4523.69	3243.12	3386.62	3248.02	1008.00	2646.94	1597.28	2640.10	3444.00	3349.00	2641.00	153.00	165.00	183.00	829.42	422.59	2037.98	3349.00	3144.67	4342.77	4523.69	165.00	167.00	2547.55	3248.02	829.42	1096.67	2294.77	2640.10	1021.29	438.77	1335.08	15.10	604.05	840.20	13.95	23.52	9.04	52.41	76.61	26.32	4175.77	584.00	248.00	1285.00	705.67	529.10	42.32	17.97	93.12	51.14	38.34	57.68	82.03	6.88	48.86	3072724.00	1121875.00	4167405.00	2787334.67	3522.01	2704.16	1684.34	438.90	146.49	2014.16	866.51	5845.20	4514.69	2338.88	3	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	1694.98	472.76	762.10	148.17	146.03	174.14	1550.44	328.67	592.01	400.00	401.00	408.00	126.00	129.00	180.00	255.47	256.92	237.91	401.00	403.00	976.61	762.10	129.00	145.00	156.11	148.17	255.47	250.10	823.71	592.01	638.72	4.36	15.65	30.35	643.00	10.58	1.08	65.40	20.93	10.02	4.23	78.06	831.61	82.00	399.00	443.00	308.00	196.95	5.94	28.91	32.10	22.32	14.27	94.06	71.09	67.90	77.68	138988.00	188630.00	337612.00	221743.33	5122.93	797.02	2722.93	24.82	164.54	96.32	95.22	43.59	36.28	53.73	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
5	antigen 011	CT62	1	1	5	629.19	1176.33	670.27	199.10	205.81	254.83	437.22	977.93	429.27	410.00	520.00	520.00	132.00	186.00	189.00	218.03	321.60	279.00	520.00	483.33	825.26	670.27	186.00	169.00	219.92	205.81	279.00	272.88	614.81	437.22	304.73	63.51	30.42	32.08	314.50	52.05	13.14	36.93	18.98	13.83	19.08	51.15	656.26	378.00	433.00	434.00	415.00	32.05	27.39	31.38	31.45	30.07	2.32	72.61	68.62	68.55	69.93	237834.00	509353.00	290896.00	346027.67	1552.23	4809.79	1105.55	106.47	88.04	168.52	121.01	102.87	98.30	166.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	antigen 015	DSCR8/MMA1	1	1	6	786.48	771.09	971.14	394.15	239.57	255.41	614.00	552.69	745.20	398.00	526.00	520.00	123.00	189.00	184.00	225.52	307.60	294.06	520.00	481.33	842.90	786.48	184.00	165.33	296.38	255.41	294.06	275.73	637.30	614.00	111.32	72.23	85.04	36.75	98.35	44.00	15.01	13.21	22.23	28.69	15.96	15.43	677.57	609.00	484.00	628.00	573.67	78.23	44.13	35.07	45.51	41.57	5.67	55.87	64.93	54.49	58.43	478967.00	373207.00	609878.00	487350.67	3705.65	2100.24	4129.60	100.91	127.37	113.32	113.87	2395.54	235.87	271.04	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	1024.25	745.66	784.03	227.96	251.89	353.39	806.76	514.84	520.34	524.00	566.00	606.00	138.00	181.00	185.00	306.52	335.19	342.31	566.00	565.33	851.31	784.03	181.00	168.00	277.75	251.89	335.19	328.00	613.98	520.34	150.99	41.00	66.60	26.06	166.97	18.95	7.25	17.74	15.51	23.98	5.78	27.20	683.31	330.00	865.00	635.00	610.00	268.37	23.91	62.68	46.01	44.20	19.45	76.09	37.32	53.99	55.80	338001.00	644992.00	497861.00	493618.00	3222.90	2528.34	1927.93	82.61	176.14	171.38	143.38	148.02	194.52	845.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	antigen 112	SOX1	1	1	8	672.23	4234.39	2407.11	208.81	864.78	618.64	480.57	3565.66	1932.03	514.00	3117.00	736.00	169.00	220.00	202.00	322.34	2448.27	260.93	736.00	1455.67	2437.91	2407.11	202.00	197.00	564.08	618.64	322.34	1010.51	1992.75	1932.03	1781.28	1443.03	331.37	25.87	1543.44	1245.51	99.13	73.07	13.13	58.75	123.26	77.45	2240.91	336.00	61.00	76.00	157.67	154.62	24.35	4.42	5.51	11.43	11.20	75.65	95.58	94.49	88.57	225869.00	258298.00	182940.00	222369.00	1062.72	6287.64	6760.43	151.94	34.59	21.72	69.42	154.56	1500.89	1072.26	0	3	3	0	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	562.71	887.28	608.44	179.22	186.12	196.88	386.88	704.08	420.87	416.00	403.00	408.00	172.00	183.00	178.00	240.18	219.80	220.43	408.00	409.00	686.14	608.44	178.00	177.67	187.41	186.12	220.43	226.80	503.95	420.87	175.69	6.56	8.90	5.51	174.15	11.59	1.60	25.60	3.10	4.75	5.11	34.56	508.48	247.00	131.00	342.00	240.00	105.67	17.90	9.49	24.78	17.39	7.66	82.10	90.51	75.22	82.61	138989.00	116234.00	208087.00	154436.67	1067.34	3362.84	2264.41	89.53	27.43	63.57	60.17	62.00	60.14	94.33	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	3
10	antigen 040	MART-1	1	2	2	493.30	665.84	1313.13	162.33	175.61	176.56	334.67	493.50	1140.87	396.00	382.00	389.00	169.00	175.00	171.00	237.37	209.66	216.75	389.00	389.00	824.09	665.84	171.00	171.67	171.50	175.61	216.75	221.26	656.35	493.50	432.22	7.00	7.95	3.06	427.06	14.40	1.80	52.45	1.78	4.64	6.51	65.07	652.42	54.00	69.00	95.00	72.67	20.74	3.91	5.00	6.88	5.27	1.50	96.09	95.00	93.12	94.73	26638.00	45943.00	124747.00	65776.00	290.35	859.97	6732.50	62.24	39.60	16.10	39.31	50.39	66.97	62.22	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
