	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	935.02	922.63	914.99	666.90	671.00	642.87	263.21	250.93	266.48	915.00	907.00	919.00	693.00	673.00	673.00	243.18	235.30	270.48	915.00	913.67	924.22	922.63	673.00	679.67	660.26	666.90	243.18	249.65	260.20	263.21	10.11	6.11	15.19	11.55	8.20	18.46	0.67	1.09	1.70	2.30	7.40	3.15	244.55	229.00	176.00	197.00	200.67	26.69	16.59	12.75	14.28	14.54	1.93	83.41	87.25	85.72	85.46	214120.00	162383.00	180254.00	185585.67	77.10	78.56	38.09	781.80	562.18	1378.18	907.39	179.85	111.61	143.64	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	890.98	954.69	1007.47	556.85	590.68	578.69	341.92	366.61	433.03	899.00	925.00	911.00	635.00	701.00	668.00	349.94	336.93	336.56	911.00	911.67	951.04	954.69	668.00	668.00	575.41	578.69	336.93	341.14	380.52	366.61	58.33	13.01	17.15	33.00	47.12	7.62	1.43	6.13	4.94	2.98	2.23	12.38	283.04	1248.00	879.00	965.00	1030.67	193.07	90.43	63.70	69.93	74.69	13.99	9.57	36.30	30.07	25.31	1111941.00	839169.00	972207.00	974439.00	105.18	87.79	1753.64	4056.97	3670.89	238.29	2655.38	292.20	293.39	284.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	991.00	989.03	1063.63	624.83	598.68	638.06	369.51	393.12	447.73	928.00	949.00	1008.00	672.00	632.00	665.00	306.51	353.09	392.10	949.00	961.67	1014.55	991.00	665.00	656.33	620.53	624.83	353.09	350.57	403.46	393.12	42.51	41.48	20.04	21.36	40.12	42.85	4.31	4.19	3.25	3.23	12.22	9.94	358.22	680.00	760.00	800.00	746.67	61.10	49.28	55.07	57.97	54.11	4.43	50.72	44.93	42.03	45.89	673880.00	751664.00	850905.00	758816.33	617.26	157.75	389.06	407.07	1893.93	920.63	1073.88	274.57	282.60	316.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	811.33	1113.06	5303.68	230.01	232.93	227.39	583.00	882.70	5079.18	836.00	807.00	931.00	218.00	216.00	214.00	607.66	576.64	706.50	836.00	858.00	2409.36	1113.06	216.00	216.00	230.11	230.01	607.66	630.27	2181.62	882.70	2511.09	64.86	2.77	2.00	2513.83	67.82	7.56	104.22	0.93	1.20	10.76	115.23	2193.36	12.00	18.00	31.00	20.33	9.71	0.87	1.30	2.25	1.47	0.70	99.13	98.70	97.75	98.53	9736.00	20035.00	164414.00	64728.33	203.19	1117.13	10062.43	34.43	14.22	15.65	21.43	33.62	39.86	35.01	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	955.66	705.91	649.60	356.30	331.29	352.53	609.58	377.78	306.16	594.00	553.00	602.00	306.00	320.00	307.00	247.92	224.88	258.56	594.00	583.00	770.39	705.91	307.00	311.00	346.71	352.53	247.92	243.79	431.17	377.78	162.90	26.29	13.48	7.81	158.60	17.22	4.51	21.14	2.51	3.89	7.06	36.78	459.39	64.00	141.00	91.00	98.67	39.07	4.64	10.22	6.59	7.15	2.83	95.36	89.78	93.41	92.85	61162.00	99533.00	59114.00	73269.67	982.88	375.58	258.54	39.69	141.83	107.76	96.43	153.78	69.69	142.36	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	797.33	782.45	720.60	383.67	325.78	296.93	505.30	494.22	425.75	535.00	569.00	568.00	292.00	291.00	294.00	242.97	280.77	273.15	568.00	557.33	766.79	782.45	292.00	292.33	335.46	325.78	273.15	265.63	475.09	494.22	40.69	19.35	44.17	1.53	43.08	19.99	3.47	5.31	0.52	13.17	7.53	9.07	474.46	414.00	262.00	372.00	349.33	78.49	30.00	18.99	26.96	25.31	5.69	70.00	81.01	73.04	74.69	330094.00	205001.00	268064.00	267719.67	1306.66	1204.82	586.24	160.10	107.47	270.17	179.25	1131.58	200.19	57.22	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	760.77	731.54	1451.25	374.95	317.55	363.62	442.00	437.58	1096.47	584.00	581.00	622.00	295.00	292.00	314.00	265.23	287.04	267.22	584.00	595.67	981.19	760.77	295.00	300.33	352.04	363.62	267.22	273.16	658.68	442.00	407.35	22.85	30.40	11.93	379.14	12.06	3.84	41.52	3.97	8.64	4.42	57.56	680.85	275.00	504.00	162.00	313.67	174.25	19.93	36.52	11.74	22.73	12.63	80.07	63.48	88.26	77.27	209212.00	368697.00	235102.00	271003.67	586.66	569.47	4190.67	207.19	387.28	42.39	212.29	633.79	144.03	107.48	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
8	antigen 112	SOX1	1	1	8	1097.95	576.31	854.92	373.79	331.26	321.61	755.98	251.74	542.59	596.00	540.00	535.00	296.00	299.00	299.00	254.03	215.43	222.67	540.00	557.00	843.06	854.92	299.00	298.00	342.22	331.26	222.67	230.71	516.77	542.59	261.02	33.87	27.76	1.73	253.11	20.52	6.08	30.96	0.58	8.11	8.89	48.98	545.06	115.00	71.00	182.00	122.67	55.90	8.33	5.14	13.19	8.89	4.05	91.67	94.86	86.81	91.11	126264.00	40918.00	155596.00	107592.67	2170.13	85.54	1709.09	40.06	208.96	57.78	102.27	207.41	91.35	115.89	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
9	antigen 036	MAGEA5	1	2	1	790.11	1594.32	1842.79	264.14	258.17	269.72	528.98	1339.21	1576.20	488.00	560.00	807.00	281.00	275.00	283.00	226.87	304.89	540.41	560.00	618.33	1409.07	1594.32	281.00	279.67	264.01	264.14	304.89	357.39	1148.13	1339.21	550.25	167.31	5.78	4.16	549.13	163.23	27.06	39.05	1.49	2.19	45.67	47.83	1129.41	45.00	28.00	33.00	35.33	8.74	3.26	2.03	2.39	2.56	0.63	96.74	97.97	97.61	97.44	35555.00	44641.00	60812.00	47002.67	864.40	3619.88	3525.12	27.54	10.36	14.76	17.55	50.51	47.71	51.18	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
10	antigen 040	MART-1	1	2	2	636.00	5658.44	3917.88	263.56	280.94	278.63	373.08	5379.89	3643.94	638.00	2418.00	1074.00	288.00	289.00	286.00	375.08	2139.44	800.06	1074.00	1376.67	3404.11	3917.88	288.00	287.67	274.38	278.63	800.06	1104.86	3132.30	3643.94	2550.33	927.80	9.44	1.53	2542.31	920.83	67.39	74.92	0.53	3.44	83.34	81.16	3116.44	6.00	9.00	8.00	7.67	1.53	0.43	0.65	0.58	0.56	0.11	99.57	99.35	99.42	99.44	3816.00	50926.00	31343.00	28695.00	68.71	6462.92	6146.13	32.58	7.49	4.74	14.94	39.97	48.93	56.90	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
