	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	3614.44	2988.60	3315.92	3119.94	1925.68	2354.35	595.51	1136.36	994.67	3559.00	2846.00	3109.00	3130.00	2386.00	2818.00	540.06	993.76	787.75	3109.00	3171.33	3306.32	3315.92	2818.00	2778.00	2466.66	2354.35	787.75	773.86	908.85	994.67	313.03	360.56	605.00	373.61	280.45	227.17	11.37	9.47	13.45	24.53	29.36	30.86	528.32	342.00	1072.00	874.00	762.67	377.52	24.78	77.68	63.33	55.27	27.36	75.22	22.32	36.67	44.73	1236140.00	3203782.00	2898117.00	2446013.00	345.34	678.58	620.16	589.75	1795.20	1401.80	1262.25	1574.98	1562.16	1538.90	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	3460.16	3561.52	3731.92	271.94	570.82	650.42	3215.12	3266.92	3373.52	3053.00	3077.00	3301.00	207.00	192.00	294.00	2807.97	2782.40	2942.60	3077.00	3143.67	3584.53	3561.52	207.00	231.00	497.72	570.82	2807.97	2844.32	3285.19	3266.92	137.34	136.78	199.55	55.07	80.77	86.07	4.35	3.83	23.84	40.09	3.03	2.46	3353.53	1154.00	1111.00	1066.00	1110.33	44.00	83.62	80.51	77.25	80.46	3.19	16.38	19.49	22.75	19.54	3993020.00	3956848.00	3978230.00	3976032.67	2688.87	2119.33	2608.16	1379.86	1712.59	1378.82	1490.42	221.62	1406.75	1437.27	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	4967.95	4559.50	4195.50	1188.20	3104.83	1663.25	4043.37	2190.08	2927.86	3609.00	3819.00	3570.00	197.00	285.00	178.00	2684.43	1449.57	2302.36	3609.00	3666.00	4574.32	4559.50	197.00	220.00	1985.42	1663.25	2302.36	2145.45	3053.77	2927.86	386.44	133.93	998.11	57.09	933.04	632.20	3.65	8.45	25.95	50.27	29.47	30.55	4354.32	1293.00	917.00	1043.00	1084.33	191.38	93.70	66.45	75.58	78.57	13.87	6.30	33.55	24.42	21.43	6423558.00	4181066.00	4375910.00	4993511.33	4937.95	3264.92	3132.48	1058.76	615.12	974.87	882.91	1994.77	5395.78	2688.28	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	472.38	554.21	463.30	186.28	179.93	204.18	287.85	379.84	272.82	412.00	419.00	418.00	191.00	186.00	178.00	227.47	244.63	227.52	418.00	416.33	496.63	472.38	186.00	185.00	190.13	186.28	227.52	233.20	313.50	287.85	50.07	3.79	12.58	6.56	57.94	9.89	0.91	10.08	3.54	6.61	4.24	18.48	311.63	424.00	617.00	436.00	492.33	108.13	30.72	44.71	31.59	35.68	7.84	69.28	55.29	68.41	64.32	200287.00	341949.00	201999.00	248078.33	265.13	1281.74	96.98	460.33	182.85	1226.48	623.22	41.61	53.96	120.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	antigen 011	CT62	1	1	5	631.85	599.19	545.44	236.25	245.81	229.60	409.25	365.02	344.12	523.00	517.00	503.00	189.00	194.00	192.00	300.40	282.83	301.68	517.00	514.33	592.16	599.19	192.00	191.67	237.22	236.25	300.40	294.97	372.80	365.02	43.63	10.26	8.15	2.52	33.25	10.53	2.00	7.37	1.31	3.44	3.57	8.92	400.49	577.00	575.00	745.00	632.33	97.58	41.81	41.67	53.99	45.82	7.07	58.19	58.33	46.01	54.18	364577.00	344533.00	406352.00	371820.67	551.95	864.46	112.40	427.82	242.80	2280.92	983.85	127.22	130.43	176.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	antigen 015	DSCR8/MMA1	1	1	6	695.14	639.02	638.48	298.12	303.44	273.06	419.27	393.35	383.82	542.00	571.00	581.00	195.00	186.00	194.00	266.13	325.33	326.33	571.00	564.67	657.55	639.02	194.00	191.67	291.54	298.12	325.33	305.93	398.81	393.35	32.55	20.26	16.22	4.93	18.34	34.47	3.59	4.95	2.57	5.57	11.27	4.60	465.88	680.00	735.00	854.00	756.33	88.94	49.28	53.26	61.88	54.81	6.44	50.72	46.74	38.12	45.19	472693.00	469681.00	545266.00	495880.00	1552.18	738.90	735.53	183.68	391.27	445.63	340.20	210.83	759.84	190.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	1106.36	778.31	766.60	514.93	416.83	368.63	785.45	436.06	418.03	701.00	717.00	716.00	200.00	213.00	277.00	380.09	374.75	367.43	716.00	711.33	883.76	778.31	213.00	230.00	433.47	416.83	374.75	374.09	546.51	436.06	192.87	8.96	74.55	41.22	207.12	6.36	1.26	21.82	17.92	17.20	1.70	37.90	653.76	577.00	919.00	748.00	748.00	171.00	41.81	66.59	54.20	54.20	12.39	58.19	33.41	45.80	45.80	638368.00	715269.00	573419.00	642352.00	3836.01	537.19	382.09	118.14	746.00	818.36	560.83	2537.18	854.80	237.91	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	antigen 112	SOX1	1	1	8	767.18	834.51	760.42	323.85	387.43	322.27	459.73	477.49	454.94	698.00	679.00	615.00	287.00	308.00	244.00	390.55	321.97	309.52	679.00	664.00	787.37	767.18	287.00	279.67	344.52	323.85	321.97	340.68	464.05	459.73	40.97	43.49	37.17	32.62	11.88	43.64	6.55	5.20	11.67	10.79	12.81	2.56	507.70	640.00	480.00	501.00	540.33	86.95	46.38	34.78	36.30	39.15	6.30	53.62	65.22	63.70	60.85	490995.00	400566.00	380970.00	424177.00	512.82	1272.48	865.14	573.75	180.12	263.45	339.11	165.35	296.86	178.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	antigen 036	MAGEA5	1	2	1	715.69	473.91	816.61	273.63	200.12	631.61	457.09	280.13	474.93	524.00	411.00	675.00	212.00	166.00	290.00	265.40	217.21	333.32	524.00	536.67	668.74	715.69	212.00	222.67	368.46	273.63	265.40	271.98	404.05	457.09	176.11	132.46	230.85	62.68	107.69	58.33	24.68	26.33	28.15	62.65	21.45	26.65	446.07	329.00	338.00	396.00	354.33	36.36	23.84	24.49	28.70	25.68	2.64	76.16	75.51	71.30	74.32	235462.00	160183.00	323379.00	239674.67	1137.41	190.33	1333.91	132.21	497.47	140.99	256.89	157.96	94.19	2837.04	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
10	antigen 040	MART-1	1	2	2	470.70	579.31	649.07	171.68	302.85	342.43	300.90	286.86	384.67	413.00	511.00	506.00	181.00	293.00	203.00	243.19	218.55	241.60	506.00	476.67	566.36	579.31	203.00	225.67	272.32	302.85	241.60	234.45	324.14	300.90	89.88	55.19	89.38	59.34	52.89	13.79	11.58	15.87	26.30	32.82	5.88	16.32	340.69	270.00	297.00	146.00	237.67	80.53	19.57	21.52	10.58	17.22	5.84	80.43	78.48	89.42	82.78	127090.00	172055.00	94764.00	131303.00	332.38	218.23	448.93	244.43	390.39	125.10	253.31	40.79	107.80	715.81	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	3
