	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	458.66	441.25	413.77	157.26	150.96	172.94	309.49	297.73	248.22	385.00	407.00	406.00	99.00	94.00	85.00	235.83	263.48	240.45	406.00	399.33	437.89	441.25	94.00	92.67	160.39	157.26	240.45	246.58	285.15	297.73	22.63	12.42	11.32	7.09	32.51	14.81	3.11	5.17	7.66	7.06	6.01	11.40	345.23	103.00	261.00	389.00	251.00	143.26	7.46	18.91	28.19	18.19	10.38	92.54	81.09	71.81	81.81	47242.00	115166.00	160958.00	107788.67	203.90	243.26	49.00	156.34	319.43	1970.71	815.49	101.40	111.48	129.04	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	3
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	600.08	486.22	391.46	199.75	203.27	111.66	443.99	299.08	292.16	412.00	420.00	405.00	74.00	86.00	76.00	255.90	232.86	305.70	412.00	412.33	492.59	486.22	76.00	78.67	171.56	199.75	255.90	264.82	345.08	299.08	104.46	7.51	51.91	6.43	85.73	37.23	1.82	21.21	8.17	30.26	14.06	24.84	413.92	143.00	433.00	725.00	433.67	291.00	10.36	31.38	52.54	31.43	21.09	89.64	68.62	47.46	68.57	85812.00	210535.00	283810.00	193385.67	488.57	144.22	51.93	129.95	897.96	4079.11	1702.34	287.26	197.01	88.42	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	557.04	501.27	614.36	117.85	190.16	149.33	457.73	333.33	483.37	401.00	423.00	466.00	71.00	84.00	80.00	301.69	255.06	335.01	423.00	430.00	557.56	557.04	80.00	78.33	152.44	149.33	301.69	297.25	424.81	457.73	56.55	33.06	36.26	6.66	80.25	40.16	7.69	10.14	8.50	23.78	13.51	18.89	479.22	720.00	546.00	931.00	732.33	192.80	52.17	39.57	67.46	53.07	13.97	47.83	60.43	32.54	46.93	401069.00	273695.00	571969.00	415577.67	397.64	159.51	453.37	828.81	1141.00	992.60	987.47	169.54	188.93	151.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	1485.58	1123.16	12543.72	88.83	91.00	1498.61	1399.63	1038.93	12381.49	315.00	635.00	1182.00	78.00	74.00	80.00	229.05	550.77	1019.77	635.00	710.67	5050.82	1485.58	78.00	77.33	559.48	91.00	550.77	599.86	4940.01	1399.63	6491.57	438.42	813.31	3.06	6447.03	397.64	61.69	128.53	3.95	145.37	66.29	130.51	4973.49	133.00	25.00	83.00	80.33	54.05	9.64	1.81	6.01	5.82	3.92	90.36	98.19	93.99	94.18	197582.00	28079.00	1041129.00	422263.33	4365.76	1051.48	19321.36	42.64	24.70	53.19	40.18	35.91	60.29	6669.75	0	0	3	3	3	3	0	0	0	0	0	0	0	0	3	3
5	antigen 011	CT62	1	1	5	869.27	2311.61	472.39	98.00	189.24	78.18	786.77	2183.93	395.46	300.00	390.00	309.00	78.00	90.00	76.00	217.50	262.32	232.08	309.00	333.00	1217.75	869.27	78.00	81.33	121.81	98.00	232.08	237.30	1122.05	786.77	967.87	49.57	59.23	7.57	940.19	22.86	14.89	79.48	9.31	48.63	9.63	83.79	1136.42	240.00	74.00	529.00	281.00	230.25	17.39	5.36	38.33	20.36	16.69	82.61	94.64	61.67	79.64	208625.00	171059.00	249892.00	209858.67	3895.66	8402.77	2277.37	48.47	19.23	91.86	53.19	109.50	515.50	22.91	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	3
6	antigen 015	DSCR8/MMA1	1	1	6	2492.75	1116.47	1099.44	136.33	258.14	136.52	2379.21	991.34	978.11	410.00	402.00	390.00	81.00	81.00	82.00	296.46	276.87	268.66	402.00	400.67	1569.56	1116.47	81.00	81.33	177.00	136.52	276.87	280.66	1449.55	991.34	799.56	10.07	70.27	0.58	805.14	14.28	2.51	50.94	0.71	39.70	5.09	55.54	1488.22	142.00	134.00	174.00	150.00	21.17	10.29	9.71	12.61	10.87	1.53	89.71	90.29	87.39	89.13	353971.00	149607.00	191303.00	231627.00	6610.73	2555.81	4565.93	51.11	51.98	37.27	46.79	215.40	1617.14	158.47	0	3	0	3	3	3	0	0	0	0	0	0	0	0	3	3
7	antigen 032	MAGEA3	1	1	7	902.75	680.70	675.16	387.20	191.49	151.19	779.82	530.53	538.66	416.00	406.00	409.00	80.00	89.00	81.00	293.07	255.83	272.50	409.00	410.33	752.87	680.70	81.00	83.33	243.29	191.49	272.50	273.80	616.34	538.66	129.83	5.13	126.24	4.93	141.64	18.66	1.25	17.24	5.92	51.89	6.81	22.98	669.54	290.00	513.00	522.00	441.67	131.42	21.01	37.17	37.83	32.00	9.52	78.99	62.83	62.17	68.00	261798.00	349201.00	352432.00	321143.67	3308.67	1954.53	2601.45	68.35	139.25	108.09	105.23	3454.96	490.58	149.43	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	antigen 112	SOX1	1	1	8	1479.80	806.78	1506.97	118.38	140.12	139.61	1367.25	686.89	1381.12	416.00	427.00	402.00	82.00	88.00	81.00	303.45	307.11	276.15	416.00	415.00	1264.52	1479.80	82.00	83.67	132.70	139.61	303.45	295.57	1145.08	1367.25	396.64	12.53	12.41	3.79	396.87	16.92	3.02	31.37	4.53	9.35	5.72	34.66	1180.85	221.00	302.00	437.00	320.00	109.12	16.01	21.88	31.67	23.19	7.91	83.99	78.12	68.33	76.81	327035.00	243649.00	658545.00	409743.00	6363.22	3883.09	5879.14	47.49	53.42	102.66	67.86	70.16	216.14	113.58	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
9	antigen 036	MAGEA5	1	2	1	3347.25	3040.86	1420.41	207.66	108.21	118.31	3245.33	2937.04	1307.31	720.00	721.00	485.00	79.00	77.00	87.00	618.08	617.18	371.90	720.00	642.00	2602.84	3040.86	79.00	81.00	144.73	118.31	617.18	535.72	2496.56	2937.04	1035.41	135.97	54.73	5.29	1041.39	141.87	21.18	39.78	6.53	37.82	26.48	41.71	2521.84	36.00	43.00	49.00	42.67	6.51	2.61	3.12	3.55	3.09	0.47	97.39	96.88	96.45	96.91	120501.00	130757.00	69600.00	106952.67	8768.52	6570.74	2351.24	13.32	19.22	27.24	19.93	1666.75	62.81	61.21	3	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
10	antigen 040	MART-1	1	2	2	1031.95	1600.90	780.13	105.88	94.48	113.30	933.16	1518.59	680.24	544.00	607.00	340.00	83.00	81.00	85.00	445.22	524.68	240.11	544.00	497.00	1137.66	1031.95	83.00	83.00	104.56	105.88	445.22	403.34	1044.00	933.16	420.47	139.57	9.48	2.00	430.02	146.84	28.08	36.96	2.41	9.07	36.41	41.19	1054.66	37.00	31.00	53.00	40.33	11.37	2.68	2.25	3.84	2.92	0.82	97.32	97.75	96.16	97.08	38182.00	49628.00	41347.00	43052.33	2077.58	2439.00	1005.34	16.62	19.30	35.86	23.93	66.21	133.39	128.50	0	0	0	3	3	3	0	0	0	0	0	0	0	0	3	3
