	Annotation	Name	Grid	Row	Column	Raw intensity (mean) [1] {635}	Raw intensity (mean) [2] {635}	Raw intensity (mean) [3] {635}	Background (mean) [1] {635}	Background (mean) [2] {635}	Background (mean) [3] {635}	Net intensity (mean) [1] {635}	Net intensity (mean) [2] {635}	Net intensity (mean) [3] {635}	Raw intensity (med) [1] {635}	Raw intensity (med) [2] {635}	Raw intensity (med) [3] {635}	Background (med) [1] {635}	Background (med) [2] {635}	Background (med) [3] {635}	Net intensity (med) [1] {635}	Net intensity (med) [2] {635}	Net intensity (med) [3] {635}	Raw intensity (med) [med] {635}	Raw intensity (med) [mean] {635}	Raw intensity (mean) [mean] {635}	Raw intensity (mean) [med] {635}	Background (med) [med] {635}	Background (med) [mean] {635}	Background (mean) [mean] {635}	Background (mean) [med] {635}	Net intensity (med) [med] {635}	Net intensity (med) [mean] {635}	Net intensity (mean) [mean] {635}	Net intensity (mean) [med] {635}	Raw intensity (mean) [st.dev.] {635}	Raw intensity (med) [st.dev.] {635}	Background (mean) [st.dev.] {635}	Background (med) [st.dev.] {635}	Net intensity (mean) [st.dev.] {635}	Net intensity (med) [st.dev.] {635}	CT100 %CV on raw spot meds	CT100 %CV on raw spot means	CT100 %CV on bkgd local meds	CT100 %CV on bkgd local means	CT100 %CV on net meds	CT100 %CV on net means	CT100 raw mean mean - bkgd med mean	Raw intensity (np) [1] {635}	Raw intensity (np) [2] {635}	Raw intensity (np) [3] {635}	Raw intensity (np) [mean] {635}	Raw intensity (np) [st.dev.] {635}	Raw intensity (ar.pr.) [1] {635}	Raw intensity (ar.pr.) [2] {635}	Raw intensity (ar.pr.) [3] {635}	Raw intensity (ar.pr.) [mean] {635}	Raw intensity (ar.pr.) [st.dev.] {635}	raw intensity  (100-ar.pr.)  [1]	raw intensity  (100-ar.pr.)  [2]	raw intensity  (100-ar.pr.)  [3]	raw intensity  (100-ar.pr)  [val]  {mean}	Raw intensity (sum) [1] {635}	Raw intensity (sum) [2] {635}	Raw intensity (sum) [3] {635}	Raw intensity (sum) [mean] {635}	Net intensity (st.dev.) [1] {635}	Net intensity (st.dev.) [2] {635}	Net intensity (st.dev.) [3] {635}	weighted net mean  [1]	weighted net mean  [2]	weighted net mean  [3]	weighted net  (mean)  [mean]	Background (st.dev.) [1] {635}	Background (st.dev.) [2] {635}	Background (st.dev.) [3] {635}	Spot 1 running	Spot 2 running	Spot 3 running	raw int ar pr 1  < 20	raw int ar pr 2  < 20	raw int ar pr 3  < 20	net mean 1  <= 0	net mean 2  <= 0	net mean 3  <= 0	net median 1  <= 0	net median 2  <= 0	net median 3  <= 0	net mean in 2 spots of trip  <=0	net med in 2 spots of trip  <=0	ar pr  <20 for 2 spots of trip	CT100 any flag > 1 spot of trip
1	Cy5-biotin-BSA low 1st grid	Cy5 BSA 5ng/ul	1	1	1	1711.67	1651.76	1712.86	666.62	611.05	649.59	1093.76	1088.21	1123.11	1701.00	1661.00	1592.00	194.00	183.00	187.00	1083.09	1097.45	1002.25	1661.00	1651.33	1692.09	1711.67	187.00	188.00	642.42	649.59	1083.09	1060.93	1101.69	1093.76	34.94	55.14	28.47	5.57	18.76	51.32	3.34	2.06	2.96	4.43	4.84	1.70	1504.09	966.00	904.00	970.00	946.67	37.00	70.00	65.51	70.29	68.60	2.68	30.00	34.49	29.71	31.40	1653469.00	1493190.00	1661470.00	1602709.67	745.67	588.64	1140.30	1416.93	1671.22	955.38	1347.84	712.93	676.96	726.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Cy5-biotin-BSA med 1st grid	Cy5 BSA 10ng/ul	1	1	2	2203.73	2179.91	2136.62	728.56	798.51	926.95	1542.08	1456.62	1376.26	2230.00	2166.00	2113.00	193.00	189.00	196.00	1568.35	1442.70	1352.64	2166.00	2169.67	2173.42	2179.91	193.00	192.67	818.01	798.51	1442.70	1454.57	1458.32	1456.62	34.02	58.59	100.62	3.51	82.92	108.34	2.70	1.57	1.82	12.30	7.45	5.69	1980.75	1097.00	1090.00	1065.00	1084.00	16.82	79.49	78.99	77.17	78.55	1.22	20.51	21.01	22.83	21.45	2417494.00	2376105.00	2275500.00	2356366.33	455.28	866.66	717.14	3715.68	1831.98	2043.85	2530.50	815.37	907.44	1407.86	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Cy5-biotin-BSA high 1st grid	Cy5 BSA 15ng/ul	1	1	3	2644.37	2430.59	2286.31	935.62	867.36	848.55	1925.48	1674.10	1521.62	2562.00	2380.00	2301.00	197.00	196.00	189.00	1843.11	1623.51	1536.32	2380.00	2414.33	2453.76	2430.59	196.00	194.00	883.84	867.36	1623.51	1667.65	1707.07	1674.10	180.15	133.84	45.82	4.36	203.94	158.09	5.54	7.34	2.25	5.18	9.48	11.95	2259.76	1023.00	1022.00	1006.00	1017.00	9.54	74.13	74.06	72.90	73.70	0.69	25.87	25.94	27.10	26.30	2705194.00	2484064.00	2300025.00	2496427.67	2491.98	1114.97	1667.40	790.44	1534.51	918.05	1081.00	1927.14	1223.50	1016.36	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	antigen 007	COL6A1	1	1	4	1191.90	841.71	1163.04	314.97	430.23	380.59	939.71	571.26	917.57	516.00	520.00	598.00	200.00	196.00	194.00	263.80	249.55	352.52	520.00	544.67	1065.55	1163.04	196.00	196.67	375.26	380.59	263.80	288.63	809.51	917.57	194.39	46.23	57.82	3.06	206.63	55.79	8.49	18.24	1.55	15.41	19.33	25.53	868.89	399.00	417.00	537.00	451.00	75.02	28.91	30.22	38.91	32.68	5.44	71.09	69.78	61.09	67.32	475570.00	350992.00	624555.00	483705.67	2339.57	1149.15	3043.85	160.26	207.30	161.88	176.48	595.41	1484.29	982.75	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	antigen 011	CT62	1	1	5	801.33	852.03	486.27	297.00	373.37	163.87	553.39	544.86	331.48	598.00	702.00	498.00	188.00	195.00	125.00	350.07	394.82	343.21	598.00	599.33	713.21	801.33	188.00	169.33	278.08	297.00	350.07	362.70	476.58	544.86	198.17	102.01	106.02	38.55	125.73	28.03	17.02	27.79	22.77	38.13	7.73	26.38	543.87	1031.00	798.00	1141.00	990.00	175.14	74.71	57.83	82.68	71.74	12.69	25.29	42.17	17.32	28.26	826168.00	679921.00	554829.00	686972.67	1164.13	949.06	143.45	490.11	458.13	2636.58	1194.94	429.14	697.22	76.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	antigen 015	DSCR8/MMA1	1	1	6	1019.29	824.21	657.96	379.56	410.45	246.48	736.47	515.84	425.54	651.00	701.00	588.00	195.00	201.00	190.00	368.18	392.64	355.57	651.00	646.67	833.82	824.21	195.00	195.33	345.50	379.56	368.18	372.13	559.28	515.84	180.86	56.62	87.13	5.51	159.96	18.85	8.76	21.69	2.82	25.22	5.06	28.60	638.49	619.00	694.00	771.00	694.67	76.00	44.86	50.29	55.87	50.34	5.51	55.14	49.71	44.13	49.66	630942.00	571999.00	507291.00	570077.33	1771.91	1029.41	669.21	257.28	347.77	490.26	365.10	744.74	1336.81	152.82	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	antigen 032	MAGEA3	1	1	7	761.95	958.60	676.36	322.68	431.95	291.91	457.00	566.27	398.95	691.00	792.00	628.00	192.00	203.00	193.00	386.05	399.67	350.59	691.00	703.67	798.97	761.95	193.00	196.00	348.85	322.68	386.05	378.77	474.07	457.00	144.72	82.73	73.60	6.08	84.96	25.34	11.76	18.11	3.10	21.10	6.69	17.92	602.97	827.00	654.00	661.00	714.00	97.92	59.93	47.39	47.90	51.74	7.10	40.07	52.61	52.10	48.26	630132.00	626924.00	447072.00	568042.67	409.67	1361.17	185.70	922.53	272.08	1420.02	871.54	232.04	398.65	203.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	antigen 112	SOX1	1	1	8	759.43	937.72	619.18	335.37	396.72	271.35	450.16	646.03	354.93	683.00	712.00	541.00	197.00	203.00	203.00	373.73	420.31	276.76	683.00	645.33	772.11	759.43	203.00	201.00	334.48	335.37	373.73	356.93	483.71	450.16	159.65	91.51	62.69	3.46	148.42	73.24	14.18	20.68	1.72	18.74	20.52	30.68	571.11	463.00	608.00	487.00	519.33	77.72	33.55	44.06	35.29	37.63	5.63	66.45	55.94	64.71	62.37	351615.00	570132.00	301539.00	407762.00	956.72	927.06	527.33	217.85	423.69	327.79	323.11	246.47	719.80	110.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	antigen 036	MAGEA5	1	2	1	810.38	1133.06	946.55	273.19	295.73	328.21	610.87	889.79	694.01	514.00	504.00	571.00	189.00	193.00	191.00	314.48	260.73	318.46	514.00	529.67	963.33	946.55	191.00	191.00	299.04	295.73	314.48	297.89	731.56	694.01	161.99	36.14	27.66	2.00	143.20	32.24	6.82	16.82	1.05	9.25	10.82	19.57	772.33	330.00	335.00	561.00	408.67	131.95	23.91	24.28	40.65	29.61	9.56	76.09	75.72	59.35	70.39	267427.00	379574.00	531016.00	392672.33	2879.09	2154.48	1259.79	70.02	138.35	309.05	172.47	1101.39	612.37	803.85	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	antigen 040	MART-1	1	2	2	560.28	984.14	756.18	243.25	245.31	294.05	371.25	778.13	524.77	482.00	525.00	604.00	190.00	183.00	197.00	292.98	318.99	372.59	525.00	537.00	766.86	756.18	190.00	190.00	260.87	245.31	318.99	328.19	558.05	524.77	212.13	61.88	28.76	7.00	205.47	40.60	11.52	27.66	3.68	11.02	12.37	36.82	576.86	513.00	424.00	787.00	574.67	189.19	37.17	30.72	57.03	41.64	13.71	62.83	69.28	42.97	58.36	287422.00	417275.00	595112.00	433269.67	752.20	1163.75	690.41	253.20	283.50	598.19	378.30	593.27	286.86	496.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
